Date,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,NEWpv,,,,,,,,,,
2017-07-07-15,23.1675,13.7529,28.457,5.91973,28.2313,27.7607,6.83243,5.11699,13.6787,,,,,,,,,,
2017-07-07-16,16.1821,7.89331,17.389,18.9549,20.2034,13.8008,5.97623,3.72011,15.6037,,,,,,,,,,
2017-07-07-17,12.2947,9.24578,12.4685,8.48812,11.7185,8.90143,7.00709,4.37811,14.7262,,,,,,,,,,
2017-07-07-18,13.3815,14.6456,9.85421,3.57739,8.50189,4.01563,13.7197,7.37037,9.28805,,,,,,,,,,
2017-07-07-19,1.96802,5.44008,4.20147,2.50942,4.67249,3.00664,7.01737,7.31891,6.07074,,,,,,,,,,
2017-07-07-20,0.14598,0.429568,0.4095,0.132678,0.62977,0.132049,0.541115,0.871211,0.24487,,,,,,,,,,
2017-07-07-21,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-07-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-07-23,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-08-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-08-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-08-2,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-08-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-08-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-08-5,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-08-6,0.0135166,0,0.22113,0,0.0609455,0,0,0.0588159,0.00340097,,,,,,,,,,
2017-07-08-7,1.19487,0.003356,1.59541,0.625716,1.66246,0.683944,0.00342478,1.19837,3.22412,,,,,,,,,,
2017-07-08-8,8.58578,3.63119,3.52825,3.90663,3.11499,2.72562,2.6953,7.77473,4.5607,,,,,,,,,,
2017-07-08-9,24.4489,9.02764,9.17444,5.49877,11.969,5.13974,7.38382,9.88843,6.34961,,,,,,,,,,
2017-07-08-10,28.1065,10.7963,12.5012,11.6691,17.813,14.0953,10.3497,17.8764,18.0694,,,,,,,,,,
2017-07-08-11,39.5308,20.7535,43.4627,18.0098,28.2076,17.9823,24.6241,22.6993,19.1169,,,,,,,,,,
2017-07-08-12,45.251,23.9451,37.9541,30.588,36.8551,17.9146,22.8878,34.8742,18.1884,,,,,,,,,,
2017-07-08-13,43.8453,11.6151,45.0565,30.5749,52.9278,24.148,22.0624,28.4485,63.2411,,,,,,,,,,
2017-07-08-14,57.8188,23.4551,44.7272,29.122,33.608,23.8839,24.6584,11.6786,58.6021,,,,,,,,,,
2017-07-08-15,44.6671,19.0151,54.4619,29.941,31.5935,28.878,18.915,12.3881,58.9797,,,,,,,,,,
2017-07-08-16,45.2105,29.9322,42.1113,32.8747,27.8453,33.5403,26.0694,32.1392,47.6238,,,,,,,,,,
2017-07-08-17,36.1408,20.2233,31.4627,32.8288,16.032,24.2123,18.8328,25.0152,31.0781,,,,,,,,,,
2017-07-08-18,17.7717,7.91009,20.6077,12.4619,18.8085,8.51544,4.72619,5.70147,24.8237,,,,,,,,,,
2017-07-08-19,5.44991,2.94321,7.72645,1.67895,6.80896,4.32374,2.14049,3.26428,10.5362,,,,,,,,,,
2017-07-08-20,0.875879,0.137596,1.48075,0.763308,1.3645,1.14103,0,0.415388,1.55424,,,,,,,,,,
2017-07-08-21,0.00540666,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-08-22,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-08-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-09-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-09-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-09-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-09-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-09-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-09-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-09-6,0.175716,0,0,0,0.0440162,0,0,0.0735199,0,,,,,,,,,,
2017-07-09-7,2.88986,0.82222,2.14087,1.84111,1.51687,0.968356,2.66448,2.45189,1.85693,,,,,,,,,,
2017-07-09-8,6.76373,10.7493,10.5864,1.1335,6.34172,6.47376,11.6203,7.63872,9.66896,,,,,,,,,,
2017-07-09-9,10.4916,12.142,20.6896,11.0827,21.5578,14.7116,12.3292,5.48091,23.6198,,,,,,,,,,
2017-07-09-10,23.2054,15.545,23.8051,24.6535,23.034,20.9619,18.3363,27.4634,31.1257,,,,,,,,,,
2017-07-09-11,28.4715,20.2467,27.4775,25.353,24.6626,19.3096,19.1479,36.249,45.1309,,,,,,,,,,
2017-07-09-12,33.0752,34.2312,30.8894,32.95,31.8745,33.5911,40.1315,29.1433,44.1752,,,,,,,,,,
2017-07-09-13,43.8075,38.6175,33.9459,54.6289,29.0134,30.5966,56.5191,34.5433,59.4966,,,,,,,,,,
2017-07-09-14,37.9791,42.0742,43.2776,57.7395,29.65,34.4695,58.2828,58.86,49.3617,,,,,,,,,,
2017-07-09-15,24.5949,53.0315,54.0737,44.3308,43.6166,34.959,63.1563,51.6955,49.1577,,,,,,,,,,
2017-07-09-16,25.0031,45.8799,40.7584,37.3022,25.8104,33.1036,55.4985,36.8041,41.7401,,,,,,,,,,
2017-07-09-17,19.564,34.8722,29.733,33.2154,28.8103,41.8221,51.7792,34.6536,39.6791,,,,,,,,,,
2017-07-09-18,7.04217,18.6694,19.9115,19.7772,17.7859,21.6255,42.0117,25.1107,24.7727,,,,,,,,,,
2017-07-09-19,6.87998,6.4905,7.73791,9.5004,6.85637,7.53354,16.6547,9.09809,9.19283,,,,,,,,,,
2017-07-09-20,0.783966,0.731608,1.47092,1.6511,1.21214,0.413075,1.1884,2.10267,1.10191,,,,,,,,,,
2017-07-09-21,0.00540666,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-09-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-09-23,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-10-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-10-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-10-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-10-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-10-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
