Date,hour,A,B,C,D,E,F,G,H,NEW,Acon,Bcon,Ccon,Dcon,Econ,Fcon,Gcon,Hcon,NEWcon
2017-07-04-10,10,636.84,844.02,1513.2,1026,536.77,582.66,892.08,1067.85,1746,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-04-11,11,617.22,851.22,1521.6,1114.8,482.58,420.66,846.54,992.25,1784.88,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-04-12,12,614.16,877.5,1386,993.6,392.9,242.28,622.08,891.27,1811.52,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-04-13,13,654.66,866.52,1399.2,1011,518.69,412.38,923.22,994.32,1831.68,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-04-14,14,604.26,871.56,1546.2,1041.6,500.23,454.68,752.58,1094.4,1832.76,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-04-15,15,624.06,879.84,1653,1214.4,463.86,406.08,847.8,1120.41,1839.24,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-04-16,16,630.18,916.56,1555.8,1016.4,482.87,411.39,689.76,1020.15,1748.88,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-04-17,17,683.46,946.26,1426.8,912.6,511.56,317.16,485.64,1091.43,1641.6,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-04-18,18,816.66,1026.18,1591.8,1065,386.06,421.56,478.98,1016.82,1587.24,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-04-19,19,880.56,1092.96,1425,1098,378.43,483.75,475.02,850.59,1409.76,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
